carriers,locs,techs,timesteps,carrier_con
power,region1,ac_transmission:region2,2005-01-02 22:00:00,-2651.88
power,region1,ac_transmission:region2,2005-01-02 23:00:00,-2913.408
power,region1,ac_transmission:region2,2005-01-03 00:00:00,-3230.47294117647
power,region1,ac_transmission:region2,2005-01-03 01:00:00,-3230.47294117647
power,region1,ac_transmission:region2,2005-01-03 02:00:00,-2459.01647058823
power,region1,ac_transmission:region2,2005-01-03 03:00:00,-3170.48860746292
power,region1,ac_transmission:region2,2005-01-03 04:00:00,-2555.44941176471
power,region1,ac_transmission:region2,2005-01-03 05:00:00,-2555.44941176471
power,region1,ac_transmission:region2,2005-01-03 06:00:00,-2603.66352941176
power,region1,ac_transmission:region2,2005-01-03 07:00:00,-2700.09647058824
power,region1,ac_transmission:region2,2005-01-03 08:00:00,-2892.96
power,region1,ac_transmission:region2,2005-01-03 09:00:00,-2892.96
power,region1,ac_transmission:region2,2005-01-03 10:00:00,-2844.74352941176
power,region1,ac_transmission:region2,2005-01-03 11:00:00,-2844.74352941176
power,region1,ac_transmission:region2,2005-01-03 12:00:00,-2796.52941176471
power,region1,ac_transmission:region2,2005-01-03 13:00:00,-2748.31294117647
power,region1,ac_transmission:region2,2005-01-03 14:00:00,-2700.09647058824
power,region1,ac_transmission:region2,2005-01-03 15:00:00,-1716.48941176471
power,region1,ac_transmission:region2,2005-01-03 16:00:00,-2246.86588235294
power,region1,ac_transmission:region2,2005-01-03 17:00:00,-2198.64941176471
power,region1,ac_transmission:region2,2005-01-03 18:00:00,-2490.0
power,region1,ac_transmission:region2,2005-01-03 19:00:00,-3230.47294117647
power,region1,ac_transmission:region2,2005-01-03 20:00:00,-3230.47294117647
power,region1,ac_transmission:region2,2005-01-03 21:00:00,-3230.47294117647
power,region1,ac_transmission:region2,2005-01-03 22:00:00,-3230.47294117647
power,region1,ac_transmission:region2,2005-01-03 23:00:00,-3230.47294117647
power,region1,ac_transmission:region2,2005-01-04 00:00:00,-3230.47294117647
power,region1,ac_transmission:region2,2005-01-04 01:00:00,-3230.47294117647
power,region1,ac_transmission:region2,2005-01-04 02:00:00,-3230.47294117647
power,region1,ac_transmission:region2,2005-01-04 03:00:00,-3230.47294117647
power,region1,ac_transmission:region2,2005-01-04 04:00:00,-2952.38787681277
power,region1,ac_transmission:region2,2005-01-04 05:00:00,-2555.44941176471
power,region1,ac_transmission:region2,2005-01-04 06:00:00,-2603.66352941176
power,region1,ac_transmission:region2,2005-01-04 07:00:00,-2700.09647058824
power,region1,ac_transmission:region2,2005-01-04 08:00:00,-2892.96
power,region1,ac_transmission:region2,2005-01-04 09:00:00,-2827.856
power,region1,ac_transmission:region2,2005-01-04 10:00:00,-2916.88092553365
power,region1,ac_transmission:region2,2005-01-04 11:00:00,-2844.74352941177
power,region1,ac_transmission:region2,2005-01-04 12:00:00,-2796.52941176471
power,region1,ac_transmission:region2,2005-01-04 13:00:00,-2748.31294117647
power,region1,ac_transmission:region2,2005-01-04 14:00:00,-2294.256
power,region1,ac_transmission:region2,2005-01-04 15:00:00,-1716.48941176471
power,region1,ac_transmission:region2,2005-01-04 16:00:00,-2246.86588235294
power,region1,ac_transmission:region2,2005-01-04 17:00:00,-2198.64941176471
power,region1,ac_transmission:region2,2005-01-04 18:00:00,-2102.21882352941
power,region1,ac_transmission:region2,2005-01-04 19:00:00,-3230.47294117647
power,region1,ac_transmission:region2,2005-01-04 20:00:00,-3230.47294117647
power,region1,ac_transmission:region2,2005-01-04 21:00:00,-3230.47294117647
power,region1,ac_transmission:region2,2005-01-04 22:00:00,-3230.47294117647
power,region1,ac_transmission:region2,2005-01-04 23:00:00,-3230.47294117647
power,region1,ac_transmission:region2,2005-01-05 00:00:00,-3230.47294117647
power,region1,ac_transmission:region2,2005-01-05 01:00:00,-3230.47294117647
power,region1,ac_transmission:region2,2005-01-05 02:00:00,-3230.47294117647
power,region1,ac_transmission:region2,2005-01-05 03:00:00,-3230.47294117647
power,region1,ac_transmission:region2,2005-01-05 04:00:00,-3230.47294117647
power,region1,ac_transmission:region2,2005-01-05 05:00:00,-3156.72351311715
power,region1,ac_transmission:region2,2005-01-05 06:00:00,-2603.66352941176
power,region1,ac_transmission:region2,2005-01-05 07:00:00,-2700.09647058824
power,region1,ac_transmission:region2,2005-01-05 08:00:00,-2660.592
power,region1,ac_transmission:region2,2005-01-05 09:00:00,-2375.00800000001
power,region1,ac_transmission:region2,2005-01-05 10:00:00,-2763.2
power,region1,ac_transmission:region2,2005-01-05 11:00:00,-2987.392
power,region1,ac_transmission:region2,2005-01-05 12:00:00,-3108.864
