carriers,locs,techs,timesteps,carrier_prod
electricity,X1,power_lines:X2,2005-07-02 17:00:00,0.0
electricity,X1,power_lines:X2,2005-07-02 18:00:00,0.0
electricity,X1,power_lines:X2,2005-07-02 19:00:00,0.0
electricity,X1,power_lines:X2,2005-07-02 20:00:00,0.0
electricity,X1,power_lines:X2,2005-07-02 21:00:00,0.0
electricity,X1,power_lines:X2,2005-07-02 22:00:00,0.0
electricity,X1,power_lines:X2,2005-07-02 23:00:00,0.0
electricity,X1,power_lines:X3,2005-07-01 00:00:00,0.0
electricity,X1,power_lines:X3,2005-07-01 01:00:00,0.0
electricity,X1,power_lines:X3,2005-07-01 02:00:00,0.0
electricity,X1,power_lines:X3,2005-07-01 03:00:00,0.0
electricity,X1,power_lines:X3,2005-07-01 04:00:00,0.0
electricity,X1,power_lines:X3,2005-07-01 05:00:00,0.0
electricity,X1,power_lines:X3,2005-07-01 06:00:00,0.0
electricity,X1,power_lines:X3,2005-07-01 07:00:00,0.0
electricity,X1,power_lines:X3,2005-07-01 08:00:00,0.0
electricity,X1,power_lines:X3,2005-07-01 09:00:00,0.0
electricity,X1,power_lines:X3,2005-07-01 10:00:00,0.0
electricity,X1,power_lines:X3,2005-07-01 11:00:00,0.0
electricity,X1,power_lines:X3,2005-07-01 12:00:00,0.0
electricity,X1,power_lines:X3,2005-07-01 13:00:00,0.0
electricity,X1,power_lines:X3,2005-07-01 14:00:00,0.0
electricity,X1,power_lines:X3,2005-07-01 15:00:00,0.0
electricity,X1,power_lines:X3,2005-07-01 16:00:00,0.0
electricity,X1,power_lines:X3,2005-07-01 17:00:00,0.0
electricity,X1,power_lines:X3,2005-07-01 18:00:00,0.0
electricity,X1,power_lines:X3,2005-07-01 19:00:00,0.0
electricity,X1,power_lines:X3,2005-07-01 20:00:00,0.0
electricity,X1,power_lines:X3,2005-07-01 21:00:00,0.0
electricity,X1,power_lines:X3,2005-07-01 22:00:00,0.0
electricity,X1,power_lines:X3,2005-07-01 23:00:00,0.0
electricity,X1,power_lines:X3,2005-07-02 00:00:00,0.0
electricity,X1,power_lines:X3,2005-07-02 01:00:00,0.0
electricity,X1,power_lines:X3,2005-07-02 02:00:00,0.0
electricity,X1,power_lines:X3,2005-07-02 03:00:00,0.0
electricity,X1,power_lines:X3,2005-07-02 04:00:00,0.0
electricity,X1,power_lines:X3,2005-07-02 05:00:00,0.0
electricity,X1,power_lines:X3,2005-07-02 06:00:00,0.0
electricity,X1,power_lines:X3,2005-07-02 07:00:00,0.0
electricity,X1,power_lines:X3,2005-07-02 08:00:00,1.47939611995
electricity,X1,power_lines:X3,2005-07-02 09:00:00,7.89349611994999
electricity,X1,power_lines:X3,2005-07-02 10:00:00,12.97479628655
electricity,X1,power_lines:X3,2005-07-02 11:00:00,14.0576960783
electricity,X1,power_lines:X3,2005-07-02 12:00:00,11.60034620325
electricity,X1,power_lines:X3,2005-07-02 13:00:00,5.4361462449
electricity,X1,power_lines:X3,2005-07-02 14:00:00,0.0
electricity,X1,power_lines:X3,2005-07-02 15:00:00,0.0
electricity,X1,power_lines:X3,2005-07-02 16:00:00,0.0
electricity,X1,power_lines:X3,2005-07-02 17:00:00,0.0
electricity,X1,power_lines:X3,2005-07-02 18:00:00,0.0
electricity,X1,power_lines:X3,2005-07-02 19:00:00,0.0
electricity,X1,power_lines:X3,2005-07-02 20:00:00,0.0
electricity,X1,power_lines:X3,2005-07-02 21:00:00,0.0
electricity,X1,power_lines:X3,2005-07-02 22:00:00,0.0
electricity,X1,power_lines:X3,2005-07-02 23:00:00,0.0
electricity,X1,pv,2005-07-01 00:00:00,0.0
electricity,X1,pv,2005-07-01 01:00:00,0.0
electricity,X1,pv,2005-07-01 02:00:00,0.0
electricity,X1,pv,2005-07-01 03:00:00,0.0
electricity,X1,pv,2005-07-01 04:00:00,0.0
electricity,X1,pv,2005-07-01 05:00:00,0.0
electricity,X1,pv,2005-07-01 06:00:00,0.0
electricity,X1,pv,2005-07-01 07:00:00,0.0
electricity,X1,pv,2005-07-01 08:00:00,0.0
electricity,X1,pv,2005-07-01 09:00:00,0.0
