carriers,locs,techs,timesteps,capacity_factor
electricity,X1,power_lines:X2,2005-07-02 16:00:00,0.0
electricity,X1,power_lines:X2,2005-07-02 17:00:00,0.0
electricity,X1,power_lines:X2,2005-07-02 18:00:00,0.0
electricity,X1,power_lines:X2,2005-07-02 19:00:00,0.0
electricity,X1,power_lines:X2,2005-07-02 20:00:00,0.0
electricity,X1,power_lines:X2,2005-07-02 21:00:00,0.0
electricity,X1,power_lines:X2,2005-07-02 22:00:00,0.0
electricity,X1,power_lines:X2,2005-07-02 23:00:00,0.0
electricity,X1,power_lines:X3,2005-07-01 00:00:00,0.0
electricity,X1,power_lines:X3,2005-07-01 01:00:00,0.0
electricity,X1,power_lines:X3,2005-07-01 02:00:00,0.0
electricity,X1,power_lines:X3,2005-07-01 03:00:00,0.0
electricity,X1,power_lines:X3,2005-07-01 04:00:00,0.0
electricity,X1,power_lines:X3,2005-07-01 05:00:00,0.0
electricity,X1,power_lines:X3,2005-07-01 06:00:00,0.0
electricity,X1,power_lines:X3,2005-07-01 07:00:00,0.0
electricity,X1,power_lines:X3,2005-07-01 08:00:00,0.0
electricity,X1,power_lines:X3,2005-07-01 09:00:00,0.0
electricity,X1,power_lines:X3,2005-07-01 10:00:00,0.0
electricity,X1,power_lines:X3,2005-07-01 11:00:00,0.0
electricity,X1,power_lines:X3,2005-07-01 12:00:00,0.0
electricity,X1,power_lines:X3,2005-07-01 13:00:00,0.0
electricity,X1,power_lines:X3,2005-07-01 14:00:00,0.0
electricity,X1,power_lines:X3,2005-07-01 15:00:00,0.0
electricity,X1,power_lines:X3,2005-07-01 16:00:00,0.0
electricity,X1,power_lines:X3,2005-07-01 17:00:00,0.0
electricity,X1,power_lines:X3,2005-07-01 18:00:00,0.0
electricity,X1,power_lines:X3,2005-07-01 19:00:00,0.0
electricity,X1,power_lines:X3,2005-07-01 20:00:00,0.0
electricity,X1,power_lines:X3,2005-07-01 21:00:00,0.0
electricity,X1,power_lines:X3,2005-07-01 22:00:00,0.0
electricity,X1,power_lines:X3,2005-07-01 23:00:00,0.0
electricity,X1,power_lines:X3,2005-07-02 00:00:00,0.0
electricity,X1,power_lines:X3,2005-07-02 01:00:00,0.0
electricity,X1,power_lines:X3,2005-07-02 02:00:00,0.0
electricity,X1,power_lines:X3,2005-07-02 03:00:00,0.0
electricity,X1,power_lines:X3,2005-07-02 04:00:00,0.0
electricity,X1,power_lines:X3,2005-07-02 05:00:00,0.0
electricity,X1,power_lines:X3,2005-07-02 06:00:00,0.0
electricity,X1,power_lines:X3,2005-07-02 07:00:00,0.0
electricity,X1,power_lines:X3,2005-07-02 08:00:00,0.03231651146510265
electricity,X1,power_lines:X3,2005-07-02 09:00:00,0.17242863788822738
electricity,X1,power_lines:X3,2005-07-02 10:00:00,0.2834265598627065
electricity,X1,power_lines:X3,2005-07-02 11:00:00,0.3070818493850481
electricity,X1,power_lines:X3,2005-07-02 12:00:00,0.25340253095239884
electricity,X1,power_lines:X3,2005-07-02 13:00:00,0.11874931945557829
electricity,X1,power_lines:X3,2005-07-02 14:00:00,0.0
electricity,X1,power_lines:X3,2005-07-02 15:00:00,0.0
electricity,X1,power_lines:X3,2005-07-02 16:00:00,0.0
electricity,X1,power_lines:X3,2005-07-02 17:00:00,0.0
electricity,X1,power_lines:X3,2005-07-02 18:00:00,0.0
electricity,X1,power_lines:X3,2005-07-02 19:00:00,0.0
electricity,X1,power_lines:X3,2005-07-02 20:00:00,0.0
electricity,X1,power_lines:X3,2005-07-02 21:00:00,0.0
electricity,X1,power_lines:X3,2005-07-02 22:00:00,0.0
electricity,X1,power_lines:X3,2005-07-02 23:00:00,0.0
electricity,X1,pv,2005-07-01 00:00:00,0.0
electricity,X1,pv,2005-07-01 01:00:00,0.0
electricity,X1,pv,2005-07-01 02:00:00,0.0
electricity,X1,pv,2005-07-01 03:00:00,0.0
electricity,X1,pv,2005-07-01 04:00:00,0.0
electricity,X1,pv,2005-07-01 05:00:00,inf
electricity,X1,pv,2005-07-01 06:00:00,inf
electricity,X1,pv,2005-07-01 07:00:00,inf
electricity,X1,pv,2005-07-01 08:00:00,inf
electricity,X1,pv,2005-07-01 09:00:00,inf
electricity,X1,pv,2005-07-01 10:00:00,inf
electricity,X1,pv,2005-07-01 11:00:00,inf
electricity,X1,pv,2005-07-01 12:00:00,inf
electricity,X1,pv,2005-07-01 13:00:00,inf
electricity,X1,pv,2005-07-01 14:00:00,inf
electricity,X1,pv,2005-07-01 15:00:00,inf
electricity,X1,pv,2005-07-01 16:00:00,inf
electricity,X1,pv,2005-07-01 17:00:00,inf
electricity,X1,pv,2005-07-01 18:00:00,inf
electricity,X1,pv,2005-07-01 19:00:00,0.0
electricity,X1,pv,2005-07-01 20:00:00,0.0
electricity,X1,pv,2005-07-01 21:00:00,0.0
electricity,X1,pv,2005-07-01 22:00:00,0.0
electricity,X1,pv,2005-07-01 23:00:00,0.0
electricity,X1,pv,2005-07-02 00:00:00,0.0
electricity,X1,pv,2005-07-02 01:00:00,0.0
electricity,X1,pv,2005-07-02 02:00:00,0.0
electricity,X1,pv,2005-07-02 03:00:00,0.0
electricity,X1,pv,2005-07-02 04:00:00,0.0
electricity,X1,pv,2005-07-02 05:00:00,inf
electricity,X1,pv,2005-07-02 06:00:00,inf
electricity,X1,pv,2005-07-02 07:00:00,inf
electricity,X1,pv,2005-07-02 08:00:00,inf
electricity,X1,pv,2005-07-02 09:00:00,inf
electricity,X1,pv,2005-07-02 10:00:00,inf
electricity,X1,pv,2005-07-02 11:00:00,inf
electricity,X1,pv,2005-07-02 12:00:00,inf
electricity,X1,pv,2005-07-02 13:00:00,inf
electricity,X1,pv,2005-07-02 14:00:00,inf
electricity,X1,pv,2005-07-02 15:00:00,inf
electricity,X1,pv,2005-07-02 16:00:00,inf
electricity,X1,pv,2005-07-02 17:00:00,inf
electricity,X1,pv,2005-07-02 18:00:00,inf
electricity,X1,pv,2005-07-02 19:00:00,inf
electricity,X1,pv,2005-07-02 20:00:00,0.0
electricity,X1,pv,2005-07-02 21:00:00,0.0
electricity,X1,pv,2005-07-02 22:00:00,0.0
electricity,X1,pv,2005-07-02 23:00:00,0.0
electricity,X1,supply_grid_power,2005-07-01 00:00:00,0.0
electricity,X1,supply_grid_power,2005-07-01 01:00:00,0.0
electricity,X1,supply_grid_power,2005-07-01 02:00:00,0.0
electricity,X1,supply_grid_power,2005-07-01 03:00:00,0.0
electricity,X1,supply_grid_power,2005-07-01 04:00:00,0.0
electricity,X1,supply_grid_power,2005-07-01 05:00:00,0.0
electricity,X1,supply_grid_power,2005-07-01 06:00:00,0.0
electricity,X1,supply_grid_power,2005-07-01 07:00:00,0.23175954094914314
electricity,X1,supply_grid_power,2005-07-01 08:00:00,0.0
electricity,X1,supply_grid_power,2005-07-01 09:00:00,0.0
electricity,X1,supply_grid_power,2005-07-01 10:00:00,0.0
electricity,X1,supply_grid_power,2005-07-01 11:00:00,0.0
electricity,X1,supply_grid_power,2005-07-01 12:00:00,0.0
electricity,X1,supply_grid_power,2005-07-01 13:00:00,0.0
electricity,X1,supply_grid_power,2005-07-01 14:00:00,0.0
electricity,X1,supply_grid_power,2005-07-01 15:00:00,0.0
electricity,X1,supply_grid_power,2005-07-01 16:00:00,0.0
electricity,X1,supply_grid_power,2005-07-01 17:00:00,0.24794986227829757
electricity,X1,supply_grid_power,2005-07-01 18:00:00,0.2645474888585379
electricity,X1,supply_grid_power,2005-07-01 19:00:00,0.7762576846919412
electricity,X1,supply_grid_power,2005-07-01 20:00:00,0.5743193168927397
electricity,X1,supply_grid_power,2005-07-01 21:00:00,0.0
electricity,X1,supply_grid_power,2005-07-01 22:00:00,0.0
electricity,X1,supply_grid_power,2005-07-01 23:00:00,0.0
electricity,X1,supply_grid_power,2005-07-02 00:00:00,0.0
electricity,X1,supply_grid_power,2005-07-02 01:00:00,0.0
electricity,X1,supply_grid_power,2005-07-02 02:00:00,0.0
electricity,X1,supply_grid_power,2005-07-02 03:00:00,0.0
electricity,X1,supply_grid_power,2005-07-02 04:00:00,0.0
electricity,X1,supply_grid_power,2005-07-02 05:00:00,0.0
electricity,X1,supply_grid_power,2005-07-02 06:00:00,0.0
electricity,X1,supply_grid_power,2005-07-02 07:00:00,0.0
