carriers,locs,techs,timesteps,carrier_con
electricity,X1,power_lines:X2,2005-07-02 18:00:00,-251.612391640638
electricity,X1,power_lines:X2,2005-07-02 19:00:00,-274.511702093263
electricity,X1,power_lines:X2,2005-07-02 20:00:00,-250.420772653061
electricity,X1,power_lines:X2,2005-07-02 21:00:00,-200.28669122449
electricity,X1,power_lines:X2,2005-07-02 22:00:00,-138.050246836735
electricity,X1,power_lines:X2,2005-07-02 23:00:00,-105.858730714286
electricity,X1,power_lines:X3,2005-07-01 00:00:00,-19.1458286530612
electricity,X1,power_lines:X3,2005-07-01 01:00:00,-19.1458286530612
electricity,X1,power_lines:X3,2005-07-01 02:00:00,-19.1458286530612
electricity,X1,power_lines:X3,2005-07-01 03:00:00,-19.1458286530612
electricity,X1,power_lines:X3,2005-07-01 04:00:00,-19.1458286530612
electricity,X1,power_lines:X3,2005-07-01 05:00:00,-28.4438009872449
electricity,X1,power_lines:X3,2005-07-01 06:00:00,-27.1054154311225
electricity,X1,power_lines:X3,2005-07-01 07:00:00,-45.7783359923469
electricity,X1,power_lines:X3,2005-07-01 08:00:00,-41.1331243239796
electricity,X1,power_lines:X3,2005-07-01 09:00:00,-34.8159846938775
electricity,X1,power_lines:X3,2005-07-01 10:00:00,-33.4233238290816
electricity,X1,power_lines:X3,2005-07-01 11:00:00,-32.2861852882653
electricity,X1,power_lines:X3,2005-07-01 12:00:00,-34.9991535714286
electricity,X1,power_lines:X3,2005-07-01 13:00:00,-11.7341999209184
electricity,X1,power_lines:X3,2005-07-01 14:00:00,-12.4618575484694
electricity,X1,power_lines:X3,2005-07-01 15:00:00,-17.0034403316327
electricity,X1,power_lines:X3,2005-07-01 16:00:00,-13.0101704209184
electricity,X1,power_lines:X3,2005-07-01 17:00:00,-13.60424025
electricity,X1,power_lines:X3,2005-07-01 18:00:00,-18.4457178520408
electricity,X1,power_lines:X3,2005-07-01 19:00:00,-20.3121911020408
electricity,X1,power_lines:X3,2005-07-01 20:00:00,-19.1458286530612
electricity,X1,power_lines:X3,2005-07-01 21:00:00,-19.1458286530612
electricity,X1,power_lines:X3,2005-07-01 22:00:00,-19.1458286530612
electricity,X1,power_lines:X3,2005-07-01 23:00:00,-19.1458286530612
electricity,X1,power_lines:X3,2005-07-02 00:00:00,-19.1458286530612
electricity,X1,power_lines:X3,2005-07-02 01:00:00,-19.1458286530612
electricity,X1,power_lines:X3,2005-07-02 02:00:00,-19.1458286530612
electricity,X1,power_lines:X3,2005-07-02 03:00:00,-19.1458286530612
electricity,X1,power_lines:X3,2005-07-02 04:00:00,-19.1458286530612
electricity,X1,power_lines:X3,2005-07-02 05:00:00,-16.6738899209184
electricity,X1,power_lines:X3,2005-07-02 06:00:00,-10.4289918316327
electricity,X1,power_lines:X3,2005-07-02 07:00:00,-4.40093056377551
electricity,X1,power_lines:X3,2005-07-02 08:00:00,0.0
electricity,X1,power_lines:X3,2005-07-02 09:00:00,0.0
electricity,X1,power_lines:X3,2005-07-02 10:00:00,0.0
electricity,X1,power_lines:X3,2005-07-02 11:00:00,0.0
electricity,X1,power_lines:X3,2005-07-02 12:00:00,0.0
electricity,X1,power_lines:X3,2005-07-02 13:00:00,0.0
electricity,X1,power_lines:X3,2005-07-02 14:00:00,-1.5820530994898
electricity,X1,power_lines:X3,2005-07-02 15:00:00,-6.85144720663265
electricity,X1,power_lines:X3,2005-07-02 16:00:00,-11.3402289387755
electricity,X1,power_lines:X3,2005-07-02 17:00:00,-14.6789918316327
electricity,X1,power_lines:X3,2005-07-02 18:00:00,-17.2810327780612
electricity,X1,power_lines:X3,2005-07-02 19:00:00,-18.8856245280612
electricity,X1,power_lines:X3,2005-07-02 20:00:00,-19.1458286530612
electricity,X1,power_lines:X3,2005-07-02 21:00:00,-19.1458286530612
electricity,X1,power_lines:X3,2005-07-02 22:00:00,-19.1458286530612
electricity,X1,power_lines:X3,2005-07-02 23:00:00,-19.1458286530612
electricity,X2,demand_electricity,2005-07-01 00:00:00,-94.54580124
electricity,X2,demand_electricity,2005-07-01 01:00:00,-76.96061918
electricity,X2,demand_electricity,2005-07-01 02:00:00,-77.4757501
electricity,X2,demand_electricity,2005-07-01 03:00:00,-77.4757501
electricity,X2,demand_electricity,2005-07-01 04:00:00,-82.73149557
electricity,X2,demand_electricity,2005-07-01 05:00:00,-148.5334787
electricity,X2,demand_electricity,2005-07-01 06:00:00,-189.5708167
electricity,X2,demand_electricity,2005-07-01 07:00:00,-238.7347112
electricity,X2,demand_electricity,2005-07-01 08:00:00,-244.2844926
electricity,X2,demand_electricity,2005-07-01 09:00:00,-231.4401809
electricity,X2,demand_electricity,2005-07-01 10:00:00,-222.5307714
electricity,X2,demand_electricity,2005-07-01 11:00:00,-222.593033
electricity,X2,demand_electricity,2005-07-01 12:00:00,-204.439029
electricity,X2,demand_electricity,2005-07-01 13:00:00,-196.1289216
electricity,X2,demand_electricity,2005-07-01 14:00:00,-204.4881939
electricity,X2,demand_electricity,2005-07-01 15:00:00,-225.9420179
electricity,X2,demand_electricity,2005-07-01 16:00:00,-193.1327166
electricity,X2,demand_electricity,2005-07-01 17:00:00,-259.507784
electricity,X2,demand_electricity,2005-07-01 18:00:00,-249.0248718
electricity,X2,demand_electricity,2005-07-01 19:00:00,-260.2516282
electricity,X2,demand_electricity,2005-07-01 20:00:00,-254.6055991
electricity,X2,demand_electricity,2005-07-01 21:00:00,-205.4495087
electricity,X2,demand_electricity,2005-07-01 22:00:00,-135.2325717
electricity,X2,demand_electricity,2005-07-01 23:00:00,-94.73897533
electricity,X2,demand_electricity,2005-07-02 00:00:00,-102.5825115
electricity,X2,demand_electricity,2005-07-02 01:00:00,-85.89880856
electricity,X2,demand_electricity,2005-07-02 02:00:00,-84.35341579
electricity,X2,demand_electricity,2005-07-02 03:00:00,-86.67150495
electricity,X2,demand_electricity,2005-07-02 04:00:00,-90.89698856
electricity,X2,demand_electricity,2005-07-02 05:00:00,-147.7607823
electricity,X2,demand_electricity,2005-07-02 06:00:00,-199.0994716
electricity,X2,demand_electricity,2005-07-02 07:00:00,-238.7775077
electricity,X2,demand_electricity,2005-07-02 08:00:00,-235.1198719
electricity,X2,demand_electricity,2005-07-02 09:00:00,-231.6484656
electricity,X2,demand_electricity,2005-07-02 10:00:00,-227.1718411
electricity,X2,demand_electricity,2005-07-02 11:00:00,-227.2133169
electricity,X2,demand_electricity,2005-07-02 12:00:00,-199.8384081
electricity,X2,demand_electricity,2005-07-02 13:00:00,-191.5372333
electricity,X2,demand_electricity,2005-07-02 14:00:00,-199.895515
electricity,X2,demand_electricity,2005-07-02 15:00:00,-221.32457
electricity,X2,demand_electricity,2005-07-02 16:00:00,-188.3448773
electricity,X2,demand_electricity,2005-07-02 17:00:00,-249.9622478
electricity,X2,demand_electricity,2005-07-02 18:00:00,-248.8941063
electricity,X2,demand_electricity,2005-07-02 19:00:00,-269.3443466
electricity,X2,demand_electricity,2005-07-02 20:00:00,-245.4123572
electricity,X2,demand_electricity,2005-07-02 21:00:00,-196.2809574
electricity,X2,demand_electricity,2005-07-02 22:00:00,-135.2892419
electricity,X2,demand_electricity,2005-07-02 23:00:00,-103.7415561
electricity,X2,power_lines:X1,2005-07-01 00:00:00,0.0
electricity,X2,power_lines:X1,2005-07-01 01:00:00,0.0
electricity,X2,power_lines:X1,2005-07-01 02:00:00,0.0
electricity,X2,power_lines:X1,2005-07-01 03:00:00,0.0
electricity,X2,power_lines:X1,2005-07-01 04:00:00,0.0
electricity,X2,power_lines:X1,2005-07-01 05:00:00,0.0
electricity,X2,power_lines:X1,2005-07-01 06:00:00,0.0
electricity,X2,power_lines:X1,2005-07-01 07:00:00,0.0
electricity,X2,power_lines:X1,2005-07-01 08:00:00,0.0
electricity,X2,power_lines:X1,2005-07-01 09:00:00,0.0
electricity,X2,power_lines:X1,2005-07-01 10:00:00,0.0
electricity,X2,power_lines:X1,2005-07-01 11:00:00,0.0
electricity,X2,power_lines:X1,2005-07-01 12:00:00,0.0
electricity,X2,power_lines:X1,2005-07-01 13:00:00,0.0
electricity,X2,power_lines:X1,2005-07-01 14:00:00,0.0
electricity,X2,power_lines:X1,2005-07-01 15:00:00,0.0
electricity,X2,power_lines:X1,2005-07-01 16:00:00,0.0
electricity,X2,power_lines:X1,2005-07-01 17:00:00,0.0
electricity,X2,power_lines:X1,2005-07-01 18:00:00,0.0
