costs,locs,techs,timesteps,cost_var
monetary,X1,supply_gas,2005-07-02 14:00:00,11.3580894115728
monetary,X1,supply_gas,2005-07-02 15:00:00,13.4357258459323
monetary,X1,supply_gas,2005-07-02 16:00:00,11.9809429787281
monetary,X1,supply_gas,2005-07-02 17:00:00,16.1078208709162
monetary,X1,supply_gas,2005-07-02 18:00:00,16.1078208709163
monetary,X1,supply_gas,2005-07-02 19:00:00,16.1078208709162
monetary,X1,supply_gas,2005-07-02 20:00:00,16.1078208709162
monetary,X1,supply_gas,2005-07-02 21:00:00,13.6130774227501
monetary,X1,supply_gas,2005-07-02 22:00:00,9.75446221424666
monetary,X1,supply_gas,2005-07-02 23:00:00,7.75086779045352
monetary,X1,supply_grid_power,2005-07-01 00:00:00,0.0
monetary,X1,supply_grid_power,2005-07-01 01:00:00,0.0
monetary,X1,supply_grid_power,2005-07-01 02:00:00,0.0
monetary,X1,supply_grid_power,2005-07-01 03:00:00,0.0
monetary,X1,supply_grid_power,2005-07-01 04:00:00,0.0
monetary,X1,supply_grid_power,2005-07-01 05:00:00,0.0
monetary,X1,supply_grid_power,2005-07-01 06:00:00,0.0
monetary,X1,supply_grid_power,2005-07-01 07:00:00,0.779178990801497
monetary,X1,supply_grid_power,2005-07-01 08:00:00,0.0
monetary,X1,supply_grid_power,2005-07-01 09:00:00,0.0
monetary,X1,supply_grid_power,2005-07-01 10:00:00,0.0
monetary,X1,supply_grid_power,2005-07-01 11:00:00,0.0
monetary,X1,supply_grid_power,2005-07-01 12:00:00,0.0
monetary,X1,supply_grid_power,2005-07-01 13:00:00,0.0
monetary,X1,supply_grid_power,2005-07-01 14:00:00,0.0
monetary,X1,supply_grid_power,2005-07-01 15:00:00,0.0
monetary,X1,supply_grid_power,2005-07-01 16:00:00,0.0
monetary,X1,supply_grid_power,2005-07-01 17:00:00,0.833611089615375
monetary,X1,supply_grid_power,2005-07-01 18:00:00,0.889412554683558
monetary,X1,supply_grid_power,2005-07-01 19:00:00,2.60978977125649
monetary,X1,supply_grid_power,2005-07-01 20:00:00,1.93087000389118
monetary,X1,supply_grid_power,2005-07-01 21:00:00,0.0
monetary,X1,supply_grid_power,2005-07-01 22:00:00,0.0
monetary,X1,supply_grid_power,2005-07-01 23:00:00,0.0
monetary,X1,supply_grid_power,2005-07-02 00:00:00,0.0
monetary,X1,supply_grid_power,2005-07-02 01:00:00,0.0
monetary,X1,supply_grid_power,2005-07-02 02:00:00,0.0
monetary,X1,supply_grid_power,2005-07-02 03:00:00,0.0
monetary,X1,supply_grid_power,2005-07-02 04:00:00,0.0
monetary,X1,supply_grid_power,2005-07-02 05:00:00,0.0
monetary,X1,supply_grid_power,2005-07-02 06:00:00,0.0
monetary,X1,supply_grid_power,2005-07-02 07:00:00,0.0
monetary,X1,supply_grid_power,2005-07-02 08:00:00,0.0
monetary,X1,supply_grid_power,2005-07-02 09:00:00,0.0
monetary,X1,supply_grid_power,2005-07-02 10:00:00,0.0
monetary,X1,supply_grid_power,2005-07-02 11:00:00,0.0
monetary,X1,supply_grid_power,2005-07-02 12:00:00,0.0
monetary,X1,supply_grid_power,2005-07-02 13:00:00,0.0
monetary,X1,supply_grid_power,2005-07-02 14:00:00,0.0
monetary,X1,supply_grid_power,2005-07-02 15:00:00,0.0
monetary,X1,supply_grid_power,2005-07-02 16:00:00,0.0
monetary,X1,supply_grid_power,2005-07-02 17:00:00,0.411833519656098
monetary,X1,supply_grid_power,2005-07-02 18:00:00,0.896878916985599
monetary,X1,supply_grid_power,2005-07-02 19:00:00,3.36201473134812
monetary,X1,supply_grid_power,2005-07-02 20:00:00,0.992784095727921
monetary,X1,supply_grid_power,2005-07-02 21:00:00,0.0
monetary,X1,supply_grid_power,2005-07-02 22:00:00,0.0
monetary,X1,supply_grid_power,2005-07-02 23:00:00,0.0
monetary,X2,boiler,2005-07-01 00:00:00,0.0
monetary,X2,boiler,2005-07-01 01:00:00,0.0192209218426079
monetary,X2,boiler,2005-07-01 02:00:00,0.0452258898917121
monetary,X2,boiler,2005-07-01 03:00:00,0.174444182925414
monetary,X2,boiler,2005-07-01 04:00:00,0.250237477285814
monetary,X2,boiler,2005-07-01 05:00:00,0.244203861828797
monetary,X2,boiler,2005-07-01 06:00:00,0.580947382361171
monetary,X2,boiler,2005-07-01 07:00:00,0.907437510579294
monetary,X2,boiler,2005-07-01 08:00:00,0.391841194311903
monetary,X2,boiler,2005-07-01 09:00:00,0.0670937290901876
monetary,X2,boiler,2005-07-01 10:00:00,0.0
monetary,X2,boiler,2005-07-01 11:00:00,0.0
monetary,X2,boiler,2005-07-01 12:00:00,0.0
monetary,X2,boiler,2005-07-01 13:00:00,0.0
monetary,X2,boiler,2005-07-01 14:00:00,0.0
monetary,X2,boiler,2005-07-01 15:00:00,0.0
monetary,X2,boiler,2005-07-01 16:00:00,0.0
monetary,X2,boiler,2005-07-01 17:00:00,0.0
monetary,X2,boiler,2005-07-01 18:00:00,0.0
monetary,X2,boiler,2005-07-01 19:00:00,0.0
monetary,X2,boiler,2005-07-01 20:00:00,0.0
monetary,X2,boiler,2005-07-01 21:00:00,0.404973337300993
monetary,X2,boiler,2005-07-01 22:00:00,0.221913405489452
monetary,X2,boiler,2005-07-01 23:00:00,0.0904418735605673
monetary,X2,boiler,2005-07-02 00:00:00,0.0
monetary,X2,boiler,2005-07-02 01:00:00,0.0721087079214016
monetary,X2,boiler,2005-07-02 02:00:00,0.0943087097242794
monetary,X2,boiler,2005-07-02 03:00:00,0.162254704058692
monetary,X2,boiler,2005-07-02 04:00:00,0.240667264061692
monetary,X2,boiler,2005-07-02 05:00:00,0.220678048227544
monetary,X2,boiler,2005-07-02 06:00:00,0.501365150754911
monetary,X2,boiler,2005-07-02 07:00:00,0.860816600144816
monetary,X2,boiler,2005-07-02 08:00:00,0.399982168241708
monetary,X2,boiler,2005-07-02 09:00:00,0.153010802857421
monetary,X2,boiler,2005-07-02 10:00:00,0.0
monetary,X2,boiler,2005-07-02 11:00:00,0.0
monetary,X2,boiler,2005-07-02 12:00:00,0.0
monetary,X2,boiler,2005-07-02 13:00:00,0.0
monetary,X2,boiler,2005-07-02 14:00:00,0.0
monetary,X2,boiler,2005-07-02 15:00:00,0.0
monetary,X2,boiler,2005-07-02 16:00:00,0.0
monetary,X2,boiler,2005-07-02 17:00:00,0.0
monetary,X2,boiler,2005-07-02 18:00:00,0.0
monetary,X2,boiler,2005-07-02 19:00:00,0.0
monetary,X2,boiler,2005-07-02 20:00:00,0.0
monetary,X2,boiler,2005-07-02 21:00:00,0.422539068190456
monetary,X2,boiler,2005-07-02 22:00:00,0.166208061866827
